# GH50-12V: 1200 g/mm, visible holographic, 50x50mm
# Digitised from Thorlabs product-page chart (average polarisation).,,
# Source: https://media.thorlabs.com/contentassets/fc92e4f8a8c148d986642cbcbe2883ef/grating_eff_holo_vis1200_g1-780.gif,,
wavelength_nm,efficiency,
227.4,0.003055,
232.1,0.01876,
235.2,0.03526,
239.9,0.05096,
243.1,0.06747,
249.4,0.08398,
264.3,0.1005,
266.7,0.1158,
271.4,0.1303,
274.5,0.152,
274.5,0.144,
279.2,0.1677,
282.4,0.1882,
282.4,0.1802,
287.1,0.2027,
290.2,0.2205,
294.9,0.2362,
298.1,0.2486,
304.4,0.2611,
321.6,0.2788,
338.9,0.2929,
350.7,0.3058,
353.1,0.3573,
353.1,0.3453,
353.1,0.3332,
353.1,0.3211,
356.2,0.3702,
357.8,0.3839,
360.9,0.4379,
360.9,0.4258,
360.9,0.4137,
360.9,0.4016,
364.1,0.4507,
368,0.466,
376.6,0.4781,
384.5,0.4681,
392.3,0.4862,
392.3,0.4781,
397,0.5019,
400.2,0.5144,
404.9,0.526,
408,0.5385,
412.8,0.5502,
415.9,0.5627,
420.6,0.5731,
423.8,0.5868,
427.7,0.5989,
431.6,0.615,
436.3,0.6295,
445.7,0.646,
453.6,0.6581,
461.5,0.6702,
470.9,0.6834,
485.8,0.7012,
502.3,0.7124,
524.3,0.7068,
543.9,0.6967,
557.3,0.6875,
598.9,0.6339,
604.4,0.6251,
634.3,0.6239,
667.3,0.5981,
689.2,0.59,
702.6,0.5788,
708.9,0.5655,
714.4,0.5546,
720.7,0.5433,
726.2,0.5305,
736.4,0.5176,
757.6,0.5144,
765.4,0.5023,
775.6,0.491,
783.5,0.4789,
792.9,0.466,
803.9,0.4532,
812.6,0.4419,
824.3,0.4298,
840.1,0.4197,
863.6,0.4137,
885.6,0.4048,
902.9,0.3964,
926.5,0.3976,
952.4,0.3964,
972,0.3887,
998.7,0.3783,
1022,0.3702,
1044,0.3634,
1068,0.3573,
1091,0.3513,
1113,0.3461,
1137,0.342,
1161,0.338,
1187,0.3356,
1209,0.3352,
1233,0.3352,
1241,0.7599,
1255,0.3356,
1264,0.7599,
1280,0.3372,
1288,0.7599,
1303,0.3392,
1303,0.7599,
1329,0.342,
1353,0.3461,
1374,0.3513,
1398,0.3573,
1418,0.3646,
1453,0.3795,
1476,0.3916,
1500,0.4036,
1522,0.4165,
1541,0.429,
1556,0.4411,
1568,0.4511,
1596,0.4693,
1618,0.4765,
1637,0.4701,
1648,0.4588,
1651,0.4447,
1657,0.4338,
1657,0.4218,
1660,0.4089,
1662,0.3984,
1665,0.3855,
1665,0.3734,
1665,0.3614,
1669,0.3493,
1671,0.338,
1673,0.3251,
1673,0.3131,
1673,0.301,
1673,0.2889,
1673,0.2768,
1676,0.2519,
1677,0.2406,
1677,0.2285,
1677,0.2164,
1677,0.2044,
1679,0.1931,
1681,0.1802,
1681,0.1681,
1681,0.156,
1681,0.144,
1681,0.1319,
1681,0.1198,
1681,0.1077,
1681,0.09565,
1681,0.08357,
1681,0.0715,
1681,0.05942,
1683,0.04613,
1684,0.03526,
1684,0.02318,
1684,0.01111,
1684,0.003055,
