# GR50A-0605: 600 g/mm, blaze 500 nm, 50x50mm ruled reflective
# Digitised from Thorlabs product-page chart (average polarisation).,,
# Source: efficiency_GR50A-0605.gif,,
wavelength_nm,efficiency,
204.6,0.03153,
214.3,0.07458,
220.9,0.1071,
227.8,0.143,
234.6,0.1787,
241.8,0.2157,
248.7,0.2556,
256.4,0.297,
262.7,0.3352,
268.1,0.3708,
274.2,0.407,
281.3,0.447,
288.5,0.4911,
296.8,0.5353,
305.4,0.5824,
314.5,0.6249,
323.1,0.6619,
332.6,0.6964,
344,0.7321,
358.9,0.766,
380.1,0.7951,
411.3,0.7994,
438.8,0.7783,
460.3,0.7486,
480.4,0.7173,
500.7,0.6862,
522.2,0.6548,
543.9,0.6234,
563.7,0.5921,
583.8,0.5607,
602.1,0.5291,
621.3,0.4983,
643.9,0.4672,
670,0.4421,
700,0.421,
731.8,0.3988,
760.2,0.3737,
784.5,0.3449,
810.3,0.3175,
840.1,0.2921,
871.6,0.2707,
903.4,0.2545,
935.2,0.2405,
966.4,0.2274,
997.9,0.2143,
1030,0.2023,
1061,0.1921,
1093,0.1952,
1122,0.2231,
1148,0.2582,
1176,0.2779,
1205,0.2662,
1227,0.2362,
1248,0.2043,
1272,0.1761,
1301,0.1561,
1333,0.1416,
1364,0.1313,
1396,0.1231,
1423,0.8572,
1427,0.1162,
1453,0.8572,
1459,0.1108,
1485,0.8572,
1490,0.1057,
1516,0.8572,
1522,0.1011,
1543,0.8572,
1553,0.09768,
1585,0.09397,
1616,0.09112,
1648,0.08856,
1679,0.0857,
1711,0.08342,
1742,0.08171,
1774,0.07915,
1806,0.07858,
1837,0.07601,
1869,0.07544,
1900,0.07316,
1932,0.07316,
1963,0.07116,
1990,0.07031,
